Fecha corte|Nombre_Entidad|Nombre_Fondo|Valor Unidad
2021/01/30|test fund|test serie|200924080.67
2021/01/31|test fund|test serie|200924080.67
2021/02/01|test fund|test serie|200924080.67
2021/02/02|test fund|test serie|203995791.759
2021/02/03|test fund|test serie|212629878.18
2021/02/04|test fund|test serie|205635663.05
2021/02/05|test fund|test serie|205636663.05
2021/02/06|test fund|test serie|205637663.05
2021/02/07|test fund|test serie|205638663.05
2021/02/08|test fund|test serie|205639663.05
2021/02/09|test fund|test serie|205640663.05
2021/02/10|test fund|test serie|205641663.05
2021/02/11|test fund|test serie|205642663.05
2021/02/12|test fund|test serie|205643663.05
2021/02/13|test fund|test serie|205644663.05
2021/02/14|test fund|test serie|205645663.05
2021/02/15|test fund|test serie|205646663.05
2021/02/16|test fund|test serie|205647663.05
2021/02/17|test fund|test serie|205648663.05
2021/02/18|test fund|test serie|205649663.05
2021/02/19|test fund|test serie|205650663.05
2021/02/20|test fund|test serie|205651663.05
2021/02/21|test fund|test serie|205652663.05
2021/02/22|test fund|test serie|205653663.05
2021/02/23|test fund|test serie|205654663.05
2021/02/24|test fund|test serie|205655663.05
2021/02/25|test fund|test serie|205656663.05
2021/02/26|test fund|test serie|205657663.05
2021/02/27|test fund|test serie|205658663.05
2021/02/28|test fund|test serie|205659663.05
2021/03/01|test fund|test serie|205660663.05
2021/03/02|test fund|test serie|205661663.05
2021/03/03|test fund|test serie|205662663.05
2021/03/04|test fund|test serie|205663663.05
2021/03/05|test fund|test serie|205664663.05
2021/03/06|test fund|test serie|205665663.05
2021/03/07|test fund|test serie|205666663.05
2021/03/08|test fund|test serie|205667663.05
2021/03/09|test fund|test serie|205668663.05
2021/03/10|test fund|test serie|205669663.05
2021/03/11|test fund|test serie|205670663.05
2021/03/12|test fund|test serie|205671663.05
2021/03/13|test fund|test serie|205672663.05
2021/03/14|test fund|test serie|205673663.05
2021/03/15|test fund|test serie|205674663.05
2021/03/16|test fund|test serie|205675663.05
2021/03/17|test fund|test serie|205676663.05
2021/03/18|test fund|test serie|205677663.05
2021/03/19|test fund|test serie|205678663.05
2021/03/20|test fund|test serie|205679663.05
2021/03/21|test fund|test serie|205680663.05
2021/03/22|test fund|test serie|205681663.05
2021/03/23|test fund|test serie|205682663.05
2021/03/24|test fund|test serie|205683663.05
2021/03/25|test fund|test serie|205684663.05
2021/03/26|test fund|test serie|205685663.05
2021/03/27|test fund|test serie|205686663.05
2021/03/28|test fund|test serie|205687663.05
2021/03/29|test fund|test serie|205688663.05
2021/03/30|test fund|test serie|205689663.05
2021/03/31|test fund|test serie|205690663.05
2021/04/01|test fund|test serie|205691663.05
2021/04/02|test fund|test serie|205692663.05
2021/04/03|test fund|test serie|205693663.05
2021/04/04|test fund|test serie|205694663.05
2021/04/05|test fund|test serie|205695663.05
2021/04/06|test fund|test serie|205696663.05
2021/04/07|test fund|test serie|205697663.05
2021/04/08|test fund|test serie|205698663.05
2021/04/09|test fund|test serie|205699663.05
2021/04/10|test fund|test serie|205700663.05
2021/04/11|test fund|test serie|205701663.05
2021/04/12|test fund|test serie|205702663.05
2021/04/13|test fund|test serie|205703663.05
2021/04/14|test fund|test serie|205704663.05
2021/04/15|test fund|test serie|205705663.05
2021/04/16|test fund|test serie|205706663.05
2021/04/17|test fund|test serie|205707663.05
2021/04/18|test fund|test serie|205708663.05
2021/04/19|test fund|test serie|205709663.05
2021/04/20|test fund|test serie|205710663.05
2021/04/21|test fund|test serie|205711663.05
2021/04/22|test fund|test serie|205712663.05
2021/04/23|test fund|test serie|205713663.05
2021/04/24|test fund|test serie|205714663.05
2021/04/25|test fund|test serie|205715663.05
2021/04/26|test fund|test serie|205716663.05
2021/04/27|test fund|test serie|205717663.05
2021/04/28|test fund|test serie|205718663.05
2021/04/29|test fund|test serie|205719663.05
2021/04/30|test fund|test serie|205720663.05
2021/05/01|test fund|test serie|205721663.05
2021/05/02|test fund|test serie|205722663.05
2021/05/03|test fund|test serie|205723663.05
2021/05/04|test fund|test serie|205724663.05
2021/05/05|test fund|test serie|205725663.05
2021/05/06|test fund|test serie|205726663.05
2021/05/07|test fund|test serie|205727663.05
2021/05/08|test fund|test serie|205728663.05
2021/05/09|test fund|test serie|205729663.05
2021/05/10|test fund|test serie|205730663.05
2021/05/11|test fund|test serie|205731663.05
2021/05/12|test fund|test serie|205732663.05
2021/05/13|test fund|test serie|205733663.05
2021/05/14|test fund|test serie|205734663.05
2021/05/15|test fund|test serie|205735663.05
2021/05/16|test fund|test serie|205736663.05
2021/05/17|test fund|test serie|205737663.05
2021/05/18|test fund|test serie|205738663.05
2021/05/19|test fund|test serie|205739663.05
2021/05/20|test fund|test serie|205740663.05
2021/05/21|test fund|test serie|205741663.05
2021/05/22|test fund|test serie|205742663.05
2021/05/23|test fund|test serie|205743663.05
2021/05/24|test fund|test serie|205744663.05
2021/05/25|test fund|test serie|205745663.05
2021/05/26|test fund|test serie|205746663.05
2021/05/27|test fund|test serie|205747663.05
2021/05/28|test fund|test serie|205748663.05
2021/05/29|test fund|test serie|205749663.05
2021/05/30|test fund|test serie|205750663.05
2021/05/31|test fund|test serie|205751663.05
2021/06/01|test fund|test serie|205752663.05
2021/06/02|test fund|test serie|205753663.05
2021/06/03|test fund|test serie|205754663.05
2021/06/04|test fund|test serie|205755663.05
2021/06/05|test fund|test serie|205756663.05
2021/06/06|test fund|test serie|205757663.05
2021/06/07|test fund|test serie|205758663.05
2021/06/08|test fund|test serie|205759663.05
2021/06/09|test fund|test serie|205760663.05
2021/06/10|test fund|test serie|205761663.05
2021/06/11|test fund|test serie|205762663.05
2021/06/12|test fund|test serie|205763663.05
2021/06/13|test fund|test serie|205764663.05
2021/06/14|test fund|test serie|205765663.05
2021/06/15|test fund|test serie|205766663.05
2021/06/16|test fund|test serie|205767663.05
2021/06/17|test fund|test serie|205768663.05
2021/06/18|test fund|test serie|205769663.05
2021/06/19|test fund|test serie|205770663.05
2021/06/20|test fund|test serie|205771663.05
2021/06/21|test fund|test serie|205772663.05
2021/06/22|test fund|test serie|205773663.05
2021/06/23|test fund|test serie|205774663.05
2021/06/24|test fund|test serie|205775663.05
2021/06/25|test fund|test serie|205776663.05
